sample_name,input_folder,file_list,coverage_folder,score,universe
scatlas2_01,/project/shefflab/brickyard/results_analysis/scatlas2/macs3_outputs/,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/scatlas_file_list.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/uniwig_output/scatlas2/score,score,cc
scatlas2_02,/project/shefflab/brickyard/results_analysis/scatlas2/macs3_outputs/,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/scatlas_file_list.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/uniwig_output/scatlas2/score,score,ccf
scatlas2_03,/project/shefflab/brickyard/results_analysis/scatlas2/macs3_outputs/,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/scatlas_file_list.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/uniwig_output/scatlas2/score,score,hmm
scatlas2_04,/project/shefflab/brickyard/results_analysis/scatlas2/macs3_outputs/,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/scatlas_file_list.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/uniwig_output/scatlas2/score,score,ml
scatlas2_05,/project/shefflab/brickyard/results_analysis/scatlas2/macs3_outputs/,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/scatlas_file_list.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/uniwig_output/scatlas2/no_score,no_score,cc
scatlas2_06,/project/shefflab/brickyard/results_analysis/scatlas2/macs3_outputs/,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/scatlas_file_list.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/uniwig_output/scatlas2/no_score,no_score,ccf
scatlas2_07,/project/shefflab/brickyard/results_analysis/scatlas2/macs3_outputs/,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/scatlas_file_list.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/uniwig_output/scatlas2/no_score,no_score,hmm
scatlas2_08,/project/shefflab/brickyard/results_analysis/scatlas2/macs3_outputs/,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/scatlas_file_list.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_scatlas2/uniwig_output/scatlas2/no_score,no_score,ml
lympho400_01,/project/shefflab/brickyard/datasets_downloaded/chip_atlas/v2/hg38/ATAC_seq,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/lympho_file_list_400.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/uniwig_output/scatlas2/score,score,cc
lympho400_02,/project/shefflab/brickyard/datasets_downloaded/chip_atlas/v2/hg38/ATAC_seq,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/lympho_file_list_400.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/uniwig_output/scatlas2/score,score,ccf
lympho400_03,/project/shefflab/brickyard/datasets_downloaded/chip_atlas/v2/hg38/ATAC_seq,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/lympho_file_list_400.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/uniwig_output/scatlas2/score,score,hmm
lympho400_04,/project/shefflab/brickyard/datasets_downloaded/chip_atlas/v2/hg38/ATAC_seq,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/lympho_file_list_400.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/uniwig_output/scatlas2/score,score,ml
lympho400_05,/project/shefflab/brickyard/datasets_downloaded/chip_atlas/v2/hg38/ATAC_seq,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/lympho_file_list_400.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/uniwig_output/scatlas2/no_score,no_score,cc
lympho400_06,/project/shefflab/brickyard/datasets_downloaded/chip_atlas/v2/hg38/ATAC_seq,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/lympho_file_list_400.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/uniwig_output/scatlas2/no_score,no_score,ccf
lympho400_07,/project/shefflab/brickyard/datasets_downloaded/chip_atlas/v2/hg38/ATAC_seq,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/lympho_file_list_400.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/uniwig_output/scatlas2/no_score,no_score,hmm
lympho400_08,/project/shefflab/brickyard/datasets_downloaded/chip_atlas/v2/hg38/ATAC_seq,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/lympho_file_list_400.txt,/project/shefflab/brickyard/results_pipeline/gtars_uniwig/experiment_lymphoblastoid_400/uniwig_output/scatlas2/no_score,no_score,ml
