sample_name,input_folder,file_list,coverage_folder,score,universe,cc_merge,cc_filter_size,cc_cutoff,hmm_normalize
synthetic01,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/score/,score,cc,0,0,None,True
synthetic02,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/score/,score,cc,0,0,10,True
synthetic03,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/score/,score,ccf,0,0,None,True
synthetic04,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/score/,score,hmm,0,0,None,True
synthetic05,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/score/,score,hmm,0,0,None,False
synthetic06,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/no_score/,no_score,cc,0,0,None,True
synthetic07,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/no_score/,no_score,cc,0,0,10,True
synthetic08,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/no_score/,no_score,ccf,0,0,None,True
synthetic09,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/no_score/,no_score,hmm,0,0,None,True
synthetic10,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_17sep2025/,/home/drc/Downloads/GTARS_PAPER/sample_list/synthetic_file_list_18sep2025.txt,/home/drc/Downloads/narrowpeakgeneration/experiment12/uniwig_output/synthetic/no_score/,no_score,hmm,0,0,None,False
